,text
0,"How lovely is spring As we looked from Windsor Terrace on the sixteen fertile counties spread beneath, speckled by happy cottages and wealthier towns, all looked as in former years, heart cheering and fair."
1,"A youth passed in solitude, my best years spent under your gentle and feminine fosterage, has so refined the groundwork of my character that I cannot overcome an intense distaste to the usual brutality exercised on board ship: I have never believed it to be necessary, and when I heard of a mariner equally noted for his kindliness of heart and the respect and obedience paid to him by his crew, I felt myself peculiarly fortunate in being able to secure his services."
2,"I confess that neither the structure of languages, nor the code of governments, nor the politics of various states possessed attractions for me."
3,"He shall find that I can feel my injuries; he shall learn to dread my revenge"" A few days after he arrived."
4,"He had escaped me, and I must commence a destructive and almost endless journey across the mountainous ices of the ocean, amidst cold that few of the inhabitants could long endure and which I, the native of a genial and sunny climate, could not hope to survive."
5,"Her native sprightliness needed no undue excitement, and her placid heart reposed contented on my love, the well being of her children, and the beauty of surrounding nature."
6,"I was rich and young, and had a guardian appointed for me; and all about me would act as if I were one of their great society, while I must keep the secret that I really was cut off from them for ever."
7,"We could make out little by the dim light, but they seemed to contain prophecies, detailed relations of events but lately passed; names, now well known, but of modern date; and often exclamations of exultation or woe, of victory or defeat, were traced on their thin scant pages."
8,"His soul overflowed with ardent affections, and his friendship was of that devoted and wondrous nature that the world minded teach us to look for only in the imagination."
9,"The visits of Merrival to Windsor, before frequent, had suddenly ceased."
10,"I often compared myself to them, and finding that my chief superiority consisted in power, I soon persuaded myself that it was in power only that I was inferior to the chiefest potentates of the earth."
11,"It was useless to provide many things, for we should find abundant provision in every town."
12,"They fly quickly over the snow in their sledges; the motion is pleasant, and, in my opinion, far more agreeable than that of an English stagecoach."
13,"I pointed to the spot where he had disappeared, and we followed the track with boats; nets were cast, but in vain."
14,"Perpetual fear had jaundiced his complexion, and shrivelled his whole person."
15,The sun set; the atmosphere grew dim and the evening star no longer shone companionless.
16,"The rain ceased; the clouds sunk behind the horizon; it was now evening, and the sun descended swiftly the western sky."
17,"They were marched to various parts of the southern counties, quartered in deserted villages, a part were sent back to their own island, while the season of winter so far revived our energy, that the passes of the country were defended, and any increase of numbers prohibited."
18,"I dared, I conquered them all, till now I have sold myself to death, with the sole condition that thou shouldst follow me Fire, and war, and plague, unite for thy destruction O my Raymond, there is no safety for thee"" With an heavy heart I listened to the changes of her delirium; I made her a bed of cloaks; her violence decreased and a clammy dew stood on her brow as the paleness of death succeeded to the crimson of fever, I placed her on the cloaks."
19,The next morning I delivered my letters of introduction and paid a visit to some of the principal professors.
20,"Nor did Raymond make an end without drawing in vivid and glowing colours, the splendour of a kingdom, in opposition to the commercial spirit of republicanism."
21,"The stranger learned about twenty words at the first lesson; most of them, indeed, were those which I had before understood, but I profited by the others."
22,"Each people looked on the coming struggle as that which would be to a great degree decisive; as, in case of victory, the next step would be the siege of Constantinople by the Greeks."
23,"My lieutenant, for instance, is a man of wonderful courage and enterprise; he is madly desirous of glory, or rather, to word my phrase more characteristically, of advancement in his profession."
24,"To be near him, to be loved by him, to feel him again her own, was the limit of her desires."
25,"The sky was serene; and, as I was unable to rest, I resolved to visit the spot where my poor William had been murdered."
26,"All that he said threw greatly into the shade Cornelius Agrippa, Albertus Magnus, and Paracelsus, the lords of my imagination; but by some fatality the overthrow of these men disinclined me to pursue my accustomed studies."
27,"The ex queen gives me Idris; Adrian is totally unfitted to succeed to the earldom, and that earldom in my hands becomes a kingdom."
28,"Maternal affection had not rendered Idris selfish; at the beginning of our calamity she had, with thoughtless enthusiasm, devoted herself to the care of the sick and helpless."
29,"He came like a protecting spirit to the poor girl, who committed herself to his care; and after the interment of his friend he conducted her to Geneva and placed her under the protection of a relation."
30,"I had expected some extravagant proposition, and remained silent awhile, collecting my thoughts that I might the better combat her fanciful scheme."
31,"They still appeared in public together, and lived under the same roof."
32,"He began to answer with violence: ""Yes, yes, I hate you You are my bane, my poison, my disgust Oh No"" And then his manner changed, and fixing his eyes on me with an expression that convulsed every nerve and member of my frame ""you are none of all these; you are my light, my only one, my life."
33,"Besides, Perdita was with him in his retirement; she saw the moodiness that succeeded to this forced hilarity; she marked his disturbed sleep, his painful irritability once she had seen his tears hers had scarce ceased to flow, since she had beheld the big drops which disappointed pride had caused to gather in his eye, but which pride was unable to dispel."
34,"I packed up my chemical instruments and the materials I had collected, resolving to finish my labours in some obscure nook in the northern highlands of Scotland."
35,My skin was embrowned by the sun; my step was firm with conscious power.
36,"I started forward and exclaimed, ""Villain Before you sign my death warrant, be sure that you are yourself safe."""
37,"He determined to extract and condense all of glory, power, and achievement, which might have resulted from a long reign, into the three years of his Protectorate."
38,"They had received orders that if I were again taken, I should be brought to the Earl; and his lenity made them expect a conclusion which they considered ill befitting my crime."
39,"Six years had elapsed, passed in a dream but for one indelible trace, and I stood in the same place where I had last embraced my father before my departure for Ingolstadt."
40,"I had now spent many hours in tears and mournful meditation; it was past twelve o'clock; all was at peace in the house, and the gentle air that stole in at my window did not rustle the leaves of the twining plants that shadowed it."
41,"Look, I weep: for more than two years I have never enjoyed one moment free from anguish."
42,Justine was called on for her defence.
43,My words flowed spontaneously my utterance was firm and quick.
44,"He obeyed her injunctions, and passed a year in exile in Cumberland."
45,"He reverted to his past life, his successes in Greece, his favour at home."
46,"I look on the hands which executed the deed; I think on the heart in which the imagination of it was conceived and long for the moment when these hands will meet my eyes, when that imagination will haunt my thoughts no more."
47,Horrible sights were shaped to me in the turbid cloud that hovered over the city; and my only relief was derived from the struggles I made to approach the gate.
48,"I resolved to fly far from the scene of my misfortunes; but to me, hated and despised, every country must be equally horrible."
49,I will protect the first the latter I commit to your charge.
50,"Miserable himself that he may render no other wretched, he ought to die."
51,It is even possible that the train of my ideas would never have received the fatal impulse that led to my ruin.
52,"She often repined; but her trust in the singleness of his affection was undisturbed; and, when they were together, unchecked by fear, she opened her heart to the fullest delight."
53,"He was full of thought, and remained silent during a considerable part of our ride; at length he said, ""I must apologize to you for my abstraction; the truth is, Ryland's motion comes on to night, and I am considering my reply."""
54,"Raymond did not wonder, that, thus situated, the artist had shrunk from notice, but he did not for this alter his resolve."
55,"But while I endured punishment and pain in their defence with the spirit of an hero, I claimed as my reward their praise and obedience."
56,I must collect my thoughts.
57,"""Not so,"" said I, ""though I confess that my thoughts are not occupied as pleasantly as yours are."
58,"""Surely it is not the custom of Englishmen to receive strangers so inhospitably."""
59,"They remained confined for five months before the trial took place, the result of which deprived them of their fortune and condemned them to a perpetual exile from their native country."
60,"These are my enticements, and they are sufficient to conquer all fear of danger or death and to induce me to commence this laborious voyage with the joy a child feels when he embarks in a little boat, with his holiday mates, on an expedition of discovery up his native river."
61,"If manly courage and resistance can save us, we will be saved."
62,"The silver hair and benevolent countenance of the aged cottager won my reverence, while the gentle manners of the girl enticed my love."
63,I commenced by inuring my body to hardship.
64,"I travelled only at night, fearful of encountering the visage of a human being."
65,"Adrian had introduced systematic modes of proceeding in the metropolis, which, while they were unable to stop the progress of death, yet prevented other evils, vice and folly, from rendering the awful fate of the hour still more tremendous."
66,"The extreme darkness of the stage, whose only light was received from the fire under the cauldron, joined to a kind of mist that floated about it, rendered the unearthly shapes of the witches obscure and shadowy."
67,"For a long time I dared not hope; but when his unobstructed breathing and the moisture that suffused his forehead, were tokens no longer to be mistaken of the departure of mortal malady, I ventured to whisper the news of the change to Idris, and at length succeeded in persuading her that I spoke truth."
68,"My first thought was Perdita; to her I must return; her I must support, drawing such food from despair as might best sustain her wounded heart; recalling her from the wild excesses of grief, by the austere laws of duty, and the soft tenderness of regret."
69,"He owned affinity not only with mankind, but all nature was akin to him; the mountains and sky were his friends; the winds of heaven and the offspring of earth his playmates; while he the focus only of this mighty mirror, felt his life mingle with the universe of existence."
70,"Alfred stood immoveable before him, his whole attention absorbed."
71,"Leave me; I am inexorable."""
72,I listened to my father in silence and remained for some time incapable of offering any reply.
73,"You hate me, but your abhorrence cannot equal that with which I regard myself."
74,"He made a vow against love and its train of struggles, disappointment and remorse, and sought in mere sensual enjoyment, a remedy for the injurious inroads of passion."
75,"I provided myself with a sum of money, together with a few jewels which had belonged to my mother, and departed."
76,"I rushed towards the window, and drawing a pistol from my bosom, fired; but he eluded me, leaped from his station, and running with the swiftness of lightning, plunged into the lake."
77,"She might have heard of my return from London, and my visit to Bolter's Lock, which, connected with my continued absence, might tend greatly to alarm her."
78,"This man, whose name was Beaufort, was of a proud and unbending disposition and could not bear to live in poverty and oblivion in the same country where he had formerly been distinguished for his rank and magnificence."
79,"We found, on each side of the humid pathway, ""dry land for the sole of the foot."""
80,"I dare not ask you to do what I think right, for I may still be misled by passion."
81,"Since then I must be an object of indifference or contempt to her, better, far better avoid her, nor expose myself before her and the scornful world to the chance of playing the mad game of a fond, foolish Icarus."
82,I shewed her the dangers which her children incurred during her absence; and she at length agreed not to go beyond the inclosure of the forest.
83,"The remains of the half finished creature, whom I had destroyed, lay scattered on the floor, and I almost felt as if I had mangled the living flesh of a human being."
84,Then again the kindly influence ceased to act I found myself fettered again to grief and indulging in all the misery of reflection.
85,"His feelings are forever on the stretch; and when he begins to sink into repose, he finds himself obliged to quit that on which he rests in pleasure for something new, which again engages his attention, and which also he forsakes for other novelties."
86,"""The father of Safie had been the cause of their ruin."
87,"""My children,"" she said, ""my firmest hopes of future happiness were placed on the prospect of your union."
88,"I will win him to me; he shall not deny his grief to me and when I know his secret then will I pour a balm into his soul and again I shall enjoy the ravishing delight of beholding his smile, and of again seeing his eyes beam if not with pleasure at least with gentle love and thankfulness."
89,I soon arrived at the hut: the door was ajar.
90,For a moment I was almost paralized by fear; but my energy returned and I demanded a guide to accompany me in following his steps.
91,I could with pleasure have destroyed the cottage and its inhabitants and have glutted myself with their shrieks and misery.
92,I remembered in one of her harshest moments a quotation of mine had roused her to anger and disdain.
93,"About two hours after this occurrence we heard the ground sea, and before night the ice broke and freed our ship."
94,"Disappointment and sickness have hitherto held dominion over me; twin born with me, my would, was for ever enchained by the shall not, of these my tyrants."
95,Adrian led the troops.
96,"why string my nerves and renew my wearied efforts ah, why?"
97,"I do not weep or sigh; but I must reason with myself, and force myself to feel sorrow and despair."
98,"He found my name a good passport to preferment, and he had procured for me the situation of private secretary to the Ambassador at Vienna, where I should enter on my career under the best auspices."
99,"But on you only had I any claim for pity and redress, and from you I determined to seek that justice which I vainly attempted to gain from any other being that wore the human form."
100,"I strove to think that all this grandeur was but more glaring infamy, and that, by planting his gold enwoven flag beside my tarnished and tattered banner, he proclaimed not his superiority, but his debasement."
101,I will not dwell longer than I need on these disastrous circumstances.
102,I heard the next morning from the steward that upon his arrival he had been in a most terrible state of mind: he had passed the first night in the garden lying on the damp grass; he did not sleep but groaned perpetually.
103,"Everything is related in them which bears reference to my accursed origin; the whole detail of that series of disgusting circumstances which produced it is set in view; the minutest description of my odious and loathsome person is given, in language which painted your own horrors and rendered mine indelible."
104,I gave him pretty nearly the same account of my former pursuits as I had given to his fellow professor.
105,"As the music went on, my ideas seemed to quit their mortal dwelling house; they shook their pinions and began a flight, sailing on the placid current of thought, filling the creation with new glory, and rousing sublime imagery that else had slept voiceless."
106,"I waited for my letters with feverish impatience; if they were delayed I was miserable and overcome by a thousand fears; and when they arrived and I saw the superscription of Elizabeth or my father, I hardly dared to read and ascertain my fate."
107,"One fine February day, when the sun had reassumed some of its genial power, I walked in the forest with my family."
108,At this time Lord Raymond returned from Greece.
109,"Bread and water did not tame my blood, nor solitary confinement inspire me with gentle thoughts."
110,"I carried pistols and a dagger constantly about me and was ever on the watch to prevent artifice, and by these means gained a greater degree of tranquillity."
111,The gentle words of Agatha and the animated smiles of the charming Arabian were not for me.
112,Alas Life is obstinate and clings closest where it is most hated.
113,I was struck by the improvement that appeared in the health of Adrian.
114,"""Are you better now, sir?"" said she."
115,Another woman confirmed the account of the fishermen having brought the body into her house; it was not cold.
116,"His appearance, different from any I had ever before seen, and his flight somewhat surprised me."
117,"I am thy creature, and I will be even mild and docile to my natural lord and king if thou wilt also perform thy part, the which thou owest me."
118,"Nor did I doubt, that in the tranquillity of our family circle at Windsor, she would recover some degree of composure, and in the end, of happiness."
119,"No man could crush a ""butterfly on the wheel"" with better effect; no man better cover a speedy retreat from a powerful adversary."
120,"Their still apparent union permitted her to do much; but no woman could, in the end, present a remedy to the encreasing negligence of the Protector; who, as if seized with a paroxysm of insanity, trampled on all ceremony, all order, all duty, and gave himself up to license."
121,The rooks cawed loudly in the trees above; mixed with their hoarse cries I heard a lively strain of music.
122,No sympathy may I ever find.
123,"I suppose some astonishment was exhibited in my countenance, for Mr. Kirwin hastened to say, ""Immediately upon your being taken ill, all the papers that were on your person were brought me, and I examined them that I might discover some trace by which I could send to your relations an account of your misfortune and illness."
124,"As soon as morning dawned I crept from my kennel, that I might view the adjacent cottage and discover if I could remain in the habitation I had found."
125,"Elinor die This is frenzy and the most miserable despair: you cannot die while I am near."""
126,"Our talk was on subjects, unconnected with the emotions that evidently occupied each; but we each divined the other's thought, and as our voices spoke of indifferent matters, our eyes, in mute language, told a thousand things no tongue could have uttered."
127,Nor did Adrian instruct me only in the cold truths of history and philosophy.
128,"'Let me go,' he cried; 'monster Ugly wretch You wish to eat me and tear me to pieces."
129,"In the open air alone I found relief; among nature's beauteous works, her God reassumed his attribute of benevolence, and again I could trust that he who built up the mountains, planted the forests, and poured out the rivers, would erect another state for lost humanity, where we might awaken again to our affections, our happiness, and our faith."
130,"""Vase am I,"" she thought, ""vase brimful of despair's direst essence."
131,"He alluded to Adrian, and spoke of him with that disparagement that the worldly wise always attach to enthusiasm."
132,I recollected my threat and resolved that it should be accomplished.
133,"Raymond had evidently vacillated during his journey, and irresolution was marked in every gesture as we entered Perdita's cottage."
134,"When my father had arrived the storm had already begun, but he had refused to stop and leaving his horse there he walked on towards the sea."
135,"Alas, what will become of us?"
136,"""The relatives of the Earl of Windsor,"" said she haughtily, ""doubtless think that I injured him; perhaps the Earl himself would be the first to acquit me, but probably I do not deserve acquittal."
137,His demeanour was sad; for a moment he appeared glad to see me and then he checked himself as if unwilling to betray his feelings.
138,"The wound, and consequent inability of Argyropylo, caused Raymond to be the first in command."
139,"I often wished that I had permitted her to take her own course, and engage herself in such labours for the welfare of others as might have distracted her thoughts."
140,"Now, beware Be silent Do not urge me to your destruction."
141,We went out with the resolution of disputing with our foe.
142,We will fight the enemy to the last.
143,"I spoke without much heed, and the very conclusion of what I said brought with it other thoughts."
144,"She reposed beside her beloved, and the tomb above was inscribed with the united names of Raymond and Perdita."
145,"Her story was plain to him, plain and distinct as the remorse and horror that darted their fangs into him."
146,If I wept he would gaze on me in silence but he was no longer harsh and although he repulsed every caress yet it was with gentleness.
147,"These sounds were mingled with the roaring of the sea, the splash of the chafed billows round the vessel's sides, and the gurgling up of the water in the hold."
148,"But I could discover, amidst all her repinings, deep resentment towards Raymond, and an unfading sense of injury, that plucked from me my hope, when I appeared nearest to its fulfilment."
149,"He rode through the town, visiting the wounded, and giving such orders as were necessary for the siege he meditated."
150,"This was not altogether the fact: but predominant self will assumed the arms and masque of callous feeling; and the haughty lady disdained to exhibit any token of the struggle she endured; while the slave of pride, she fancied that she sacrificed her happiness to immutable principle."
